[2026-02-03T04:02:43.364698] Query: +5491155667788 | Valid: True
[2026-02-03T04:03:37.819644] Query: +542945556684 | Valid: True
[2026-02-03T04:22:09.547716+00:00] Query: +542945556684 | Valid: True
[2026-02-04T01:31:56.371335+00:00] Query: +542945556684 | Valid: True
[2026-02-04T01:32:02.600454+00:00] Query: +542945556684 | Valid: True
[2026-02-04T01:32:12.934448+00:00] Query: +542945556684 | Valid: True
[2026-02-04T01:32:12.942106+00:00] Query: +5491155667788 | Valid: True
[2026-02-04T01:32:17.479102+00:00] Query: +5491155667788 | Valid: True
[2026-02-04T01:52:01.943698+00:00] Query: +5491155667788 | Valid: True
[2026-02-04T01:52:07.676406+00:00] Query: +542945556684 | Valid: True
[2026-02-04T01:52:12.952683+00:00] Query: +5491155667788 | Valid: True
[2026-02-04T01:52:12.954812+00:00] Query: +542945556684 | Valid: True
[2026-02-04T02:20:38.701747+00:00] Query: +542945556684 | Valid: True
[2026-02-04T02:26:33.073885+00:00] Query: +5491155667788 | Valid: True
[2026-02-04T02:36:20.545763+00:00] Query: +5491155667788 | Valid: True
[2026-02-04T02:36:20.590436+00:00] Query: +5491234567890 | Valid: False
[2026-02-04T02:36:35.115603+00:00] Query: +5491155667788 | Valid: True
[2026-02-04T02:36:35.117577+00:00] Query: +542945556684 | Valid: True
